Vote Id,Order,,Date,Title,Procedure,Leg/NonLeg,Type of Vote,Rule,Rapporteur,Link,Committee,Policy Area,Part no,Subject,Am no,Author,RCV,Result,Yaes,Nays,Abstentions,Excluded
1,1,1,15/09/2004,EU-Mauritius fishing agreement,CNS *,Leg,Amended proposal for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,,vote: amended proposal,,0,RCV,+,405,63,73,0
2,1,2,15/09/2004,EU-Mauritius fishing agreement,CNS *,Leg,Legislative resolution for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,,vote: legislative resolution,,0,RCV,+,415,56,67,0
3,1,1,15/09/2004,EU-Madagascar Fishing agreement,CNS *,Leg,Amended proposal for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,,vote: amended proposal,,0,RCV,+,504,79,84,0
4,1,2,15/09/2004,EU-Madagascar Fishing agreement,CNS *,Leg,Legislative resolution for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,,vote: legislative  resolution,,0,RCV,+,507,68,86,0
5,1,1,15/09/2004,EU-Cape Verde Fishing agreement,CNS *,Leg,Amended proposal for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,,vote: amended proposal,,0,RCV,+,495,74,104,0
6,1,2,15/09/2004,EU-Cape Verde Fishing agreement,CNS *,Leg,Legislative resolution for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,,vote: legislative resolution,,0,RCV,+,490,71,109,0
7,2,1,16/09/2004,International Civil Aviation Organization (ICAO),RSP,Non,Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Transport & tourism,,vote: resolution (as a whole),,0,RCV,+,316,20,206,0
8,2,1,16/09/2004,Situation in Belarus,RSP,Non,Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,,vote: resolution (as a whole),,0,RCV,+,499,20,26,0
9,2,1,16/09/2004,Sudan,RSP,Non,Motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,DEVE,Development,,vote: resolution (as a whole),,0,RCV,+,566,6,16,0
10,2,1,16/09/2004,Situation in Iraq,RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,,before § 1,3,GUE/NGL,RCV,-,114,315,155,0
